@RELATION 05-TRAINING-SUBCOMPONENTS

@ATTRIBUTE parenttype {,A,BUTTON,DIV,LI,UL,discrete}
@ATTRIBUTE childcount NUMERIC
@ATTRIBUTE positionleft NUMERIC
@ATTRIBUTE positiontop NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE height NUMERIC
@ATTRIBUTE textnodecount NUMERIC
@ATTRIBUTE avchildwidth NUMERIC
@ATTRIBUTE avchildheight NUMERIC
@ATTRIBUTE sdchildwidth NUMERIC
@ATTRIBUTE sdchildheight NUMERIC
@ATTRIBUTE avchildx NUMERIC
@ATTRIBUTE avchildy NUMERIC
@ATTRIBUTE sdchildx NUMERIC
@ATTRIBUTE sdchildy NUMERIC
@ATTRIBUTE subelement {N,Y}

@DATA
LI,43.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
DIV,42.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
DIV,41.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
DIV,40.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
DIV,39.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
LI,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
LI,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
LI,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
